helping,title,eventtitle,identifier,arg.type,arg.day,arg.month,arg.calendar,arg.status,arg.statusCount,arg.secDayCount,arg.startYear,arg.stopYear,tag,add.category.COMMA,add.rank,add.locale.COMMA,add.freelocale.COMMA,add.freespecial..COMMA,add.alias,add.remark,arg.timer.useTimeZoneOfFrontend,arg.timer.timeZoneOfEvent,arg.timer.ultimateBeginningTimer,arg.timer.ultimateEndingTimer,arg.timer.startTimeSeconds,arg.timer.startDateTime,arg.timer.durationMinutes,arg.timer.durationNatural,arg.timer.activeWeekday,arg.timer.nthWeekdayInMonth,arg.timer.activeMonth,arg.timer.periodLength,arg.timer.periodUnit,arg.timer.namedDateMidnight,arg.timer.relMinToSelectedTimerEvent,arg.timer.calendarUse,arg.timer.moonPhase,arg.timer.moonStatus,arg.timer.latitude,arg.timer.longitude,arg.timer.yamlPeriodFilePath,arg.timer.recursiveLoopLimit,arg.timer.yamlActiveFilePath,arg.timer.yamlForbiddenFilePath,arg.timer.sunPosition,arg.timer.nthWeekdayInMonth,ignored
,Mariä Lichtmeß,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.mariapregnant,greg-marialight,fixed,2,2,gregorian,,,,,,religion,catholics,1,"de_DE,de_LI",de_LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heldentag (Mosambik),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.mzHerosDay,greg-mzHerosDay,fixed,3,2,gregorian,,,,,,political,,5,pt_MZ,pt_MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waitangi Day,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.nzWaitangiDay,greg-nzWaitangiDay,fixedshifting,6,2,gregorian,,"0,0,0,0,0,2,1",,1974,,culture,,5,en_NZ,en_NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der Armee (Liberia),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.lrArmedForceDay,greg-lrArmedForceDay,fixed,11,2,gregorian,,,,,,historical,,5,"en_LR,vai_Latn_LR","en_LR,vai_Latn_LR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der Staatsgründung,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpStateFoundation,greg-jpStateFoundation,fixedshifting,11,2,gregorian,,"0,0,0,0,0,0,1",,,,political,,5,ja_JP,ja_JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valentinstag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.eco.greg.valentinsday,greg-valentinsDay ,fixed,14,2,gregorian,,,,,,economic,,2,de_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geburtstag des Kaisers (Japan),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpTennoBirthday,greg-jpTennoBirthday,fixedshifting,23,2,gregorian,,"0,0,0,0,0,0,1",,,,culture,,5,ja_JP,ja_JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weiberfastnacht,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.eco.greg.WomensShrovetide,greg-WomensShrovetide,easterly,,,gregorian,,-52,,,,culture,,2,de_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rosenmontag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.rosemonday,greg-roseMonday,easterly,,,gregorian,,-48,,,,culture,,3,de_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fasching /Fastnachtdientstag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.carnival,greg-carnival,easterly,,,gregorian,,-47,,,,culture,,3,"de_DE,de_LI",de_LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
